1611512100000,0.35340000,0.35440000,0.35175000,0.35187000,2029874.20000000,1611512999999,716640.70607700,1113,1004120.90000000,354602.75809000,0
1611513000000,0.35188000,0.35306000,0.35121000,0.35249000,2649856.50000000,1611513899999,932833.65694700,1335,1652437.90000000,581749.84835500,0
1611513900000,0.35240000,0.35295000,0.35041000,0.35062000,2475061.10000000,1611514799999,870444.03665700,1393,1596989.50000000,561721.53123100,0
1611514800000,0.35059000,0.35100000,0.34635000,0.34700000,6766390.10000000,1611515699999,2361947.14099100,3210,3041955.10000000,1062344.23387400,0
1611515700000,0.34717000,0.34717000,0.33949000,0.34115000,17448437.00000000,1611516599999,5983718.30336700,8159,8043644.10000000,2759815.78063400,0
1611516600000,0.34115000,0.34301000,0.33613000,0.34033000,15890960.30000000,1611517499999,5393048.85584200,8573,7897603.20000000,2681220.38961100,0
1611517500000,0.34030000,0.34262000,0.33998000,0.34248000,5636173.70000000,1611518399999,1925775.65022800,3205,2925558.20000000,999706.02768900,0
1611518400000,0.34244000,0.34500000,0.34061000,0.34454000,7254731.60000000,1611519299999,2486546.90482700,4061,3963486.90000000,1358383.07881400,0
1611519300000,0.34456000,0.34651000,0.34343000,0.34578000,5421958.80000000,1611520199999,1870477.44463000,2971,3081072.70000000,1063165.20583700,0
1611520200000,0.34578000,0.34793000,0.34531000,0.34675000,4947495.40000000,1611521099999,1715171.29553300,2138,2460025.90000000,852957.33088100,0
1611521100000,0.34674000,0.34755000,0.34526000,0.34700000,3433854.30000000,1611521999999,1188999.26673200,1453,1899525.10000000,657701.46302300,0
1611522000000,0.34701000,0.34725000,0.34550000,0.34683000,2539005.70000000,1611522899999,879523.00252700,1268,1237940.90000000,428886.48374700,0
1611522900000,0.34696000,0.34877000,0.34453000,0.34794000,4177553.80000000,1611523799999,1451113.19141300,1795,2178526.70000000,756432.21416300,0
1611523800000,0.34789000,0.34865000,0.34668000,0.34668000,3349270.50000000,1611524699999,1164067.72619200,1263,1849357.40000000,642512.54980800,0
1611524700000,0.34666000,0.34871000,0.34573000,0.34864000,3304786.50000000,1611525599999,1148390.46702900,1411,1648260.80000000,572727.12019000,0
1611525600000,0.34871000,0.34878000,0.34750000,0.34787000,2176347.20000000,1611526499999,757549.50642800,921,996071.20000000,346706.36238000,0
1611526500000,0.34788000,0.34851000,0.34710000,0.34832000,1819123.30000000,1611527399999,632886.13073200,1009,996755.30000000,346896.52006800,0
1611527400000,0.34820000,0.35200000,0.34809000,0.35186000,5024615.10000000,1611528299999,1760228.65872800,2208,2984851.90000000,1045250.02429300,0
1611528300000,0.35185000,0.35185000,0.34968000,0.35009000,4338560.80000000,1611529199999,1521457.55563100,1698,2446180.60000000,857898.31444100,0
1611529200000,0.35006000,0.35084000,0.34931000,0.34978000,2664141.20000000,1611530099999,932631.17729800,1415,1362310.30000000,476908.43261500,0
1611530100000,0.34984000,0.35042000,0.34873000,0.34969000,3539786.60000000,1611530999999,1236886.12858100,1611,1703257.70000000,595194.77429400,0
1611531000000,0.34969000,0.35151000,0.34897000,0.35151000,3830438.10000000,1611531899999,1339856.35289300,1629,2304034.20000000,805927.81016800,0
1611531900000,0.35155000,0.35422000,0.35141000,0.35345000,6179083.00000000,1611532799999,2181596.89758300,2924,3158456.20000000,1114957.46952100,0
1611532800000,0.35346000,0.35799000,0.35327000,0.35754000,7822500.40000000,1611533699999,2779375.85590500,4430,3591294.60000000,1276391.15962800,0
1611533700000,0.35763000,0.36126000,0.35741000,0.36047000,8840340.10000000,1611534599999,3178271.70887500,4814,5135556.90000000,1846694.38440500,0
1611534600000,0.36032000,0.36083000,0.35766000,0.36035000,8318161.10000000,1611535499999,2988279.23962400,5176,4720759.50000000,1696168.73215700,0
1611535500000,0.36045000,0.36343000,0.35849000,0.35900000,10723131.70000000,1611536399999,3875387.35466700,6025,5113104.50000000,1848242.44190200,0
1611536400000,0.35923000,0.36014000,0.35631000,0.35830000,7185611.90000000,1611537299999,2569838.95500000,4619,3614771.40000000,1292777.49275400,0
1611537300000,0.35847000,0.36021000,0.35741000,0.35914000,3641066.00000000,1611538199999,1306376.83361900,2450,1908854.20000000,684900.04715100,0
1611538200000,0.35912000,0.36109000,0.35754000,0.36048000,3026893.00000000,1611539099999,1088031.02086000,2669,1460083.60000000,524808.05415200,0
1611539100000,0.36050000,0.36371000,0.36001000,0.36321000,3597075.00000000,1611539999999,1303664.52199600,3188,1839827.60000000,667020.95045300,0
1611540000000,0.36303000,0.36391000,0.36006000,0.36108000,3624554.40000000,1611540899999,1309673.45313300,2867,1972944.30000000,712771.40346600,0
